Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Efficiency_WhKm,FastChargeSpeed_kmph
6.9 sec,217 km/h,345 km,167 Wh/km,,Rear Wheel Drive,5,47567.0,,167,580
9.0 sec,150 km/h,310 km,164 Wh/km,,Front Wheel Drive,5,44000.0,,164,460
9.0 sec,150 km/h,300 km,169 Wh/km,,Front Wheel Drive,5,45000.0,,169,450
6.5 sec,200 km/h,305 km,251 Wh/km,,All Wheel Drive,5,,,251,420
4.9 sec,200 km/h,355 km,254 Wh/km,,All Wheel Drive,5,,,254,410
3.9 sec,180 km/h,320 km,194 Wh/km,,All Wheel Drive,5,48990.0,,194,490
7.9 sec,167 km/h,370 km,173 Wh/km,,Front Wheel Drive,5,46950.0,,173,350
9.9 sec,157 km/h,230 km,170 Wh/km,,Front Wheel Drive,5,,,170,200
3.8 sec,200 km/h,400 km,176 Wh/km,,All Wheel Drive,5,81900.0,,176,540
3.8 sec,200 km/h,505 km,178 Wh/km,,All Wheel Drive,5,90900.0,,178,530
6.9 sec,180 km/h,355 km,197 Wh/km,,Rear Wheel Drive,5,62900.0,,197,370
7.0 sec,180 km/h,455 km,200 Wh/km,,Rear Wheel Drive,5,71200.0,,200,400
6.3 sec,180 km/h,345 km,203 Wh/km,,All Wheel Drive,5,69200.0,,203,360
5.8 sec,180 km/h,440 km,207 Wh/km,,All Wheel Drive,5,77200.0,,207,390
4.4 sec,200 km/h,425 km,214 Wh/km,,All Wheel Drive,5,86200.0,,214,380
5.0 sec,210 km/h,490 km,218 Wh/km,,All Wheel Drive,5,88600.0,,218,640
4.7 sec,210 km/h,470 km,228 Wh/km,,All Wheel Drive,5,95200.0,,228,610
7.0 sec,210 km/h,470 km,193 Wh/km,,Rear Wheel Drive,5,90000.0,,193,700
6.5 sec,210 km/h,455 km,199 Wh/km,,All Wheel Drive,5,95000.0,,199,680
5.0 sec,210 km/h,455 km,199 Wh/km,,All Wheel Drive,5,115000.0,,199,680
4.3 sec,210 km/h,435 km,208 Wh/km,,All Wheel Drive,5,124920.0,,208,650
3.5 sec,240 km/h,425 km,213 Wh/km,,All Wheel Drive,5,130000.0,,213,630
4.5 sec,250 km/h,455 km,220 Wh/km,,All Wheel Drive,4,400000.0,,220,540
7.0 sec,160 km/h,350 km,171 Wh/km,,Front Wheel Drive,5,47588.0,,171,430
4.5 sec,250 km/h,520 km,206 Wh/km,,All Wheel Drive,5,95990.0,,206,1090
2.9 sec,260 km/h,450 km,238 Wh/km,,All Wheel Drive,5,150990.0,,238,940
6.0 sec,200 km/h,415 km,214 Wh/km,,All Wheel Drive,5,74400.0,,214,580
5.6 sec,200 km/h,495 km,214 Wh/km,,All Wheel Drive,5,85300.0,,214,670
6.0 sec,200 km/h,440 km,202 Wh/km,,All Wheel Drive,5,76650.0,,202,610
5.6 sec,200 km/h,525 km,202 Wh/km,,All Wheel Drive,5,87550.0,,202,710
4.5 sec,210 km/h,445 km,238 Wh/km,,All Wheel Drive,5,110000.0,,238,600
