Name	Subtitle	Acceleration	TopSpeed	Range	Efficiency	FastChargeSpeed	Drive	NumberofSeats	PriceinGermany	PriceinUK
Audi Q4 e-tron 50 quattro	76.6 kWh useable battery          Available since July 2021	6.2 sec	180 km/h	385 km	199 Wh/km		All Wheel Drive	5	€57,900	
Audi Q4 Sportback e-tron 50 quattro	76.6 kWh useable battery          Available since August 2021	6.2 sec	180 km/h	400 km	192 Wh/km		All Wheel Drive	5	€59,900	
Mercedes EQB 350 4MATIC	66.5 kWh useable battery          Available since February 2022	6.2 sec	160 km/h	335 km	199 Wh/km		All Wheel Drive	7	€58,197	
Mercedes EQA 300 4MATIC	66.5 kWh useable battery          Available since May 2021	7.7 sec	160 km/h	350 km	190 Wh/km		All Wheel Drive	5	€53,746	
Mercedes EQA 350 4MATIC	66.5 kWh useable battery          Available since May 2021	6.0 sec	160 km/h	350 km	190 Wh/km		All Wheel Drive	5	€56,424	
Toyota PROACE Verso M 75 kWh	68 kWh useable battery          Available since October 2021	13.1 sec	130 km/h	265 km	257 Wh/km		Front Wheel Drive	7	€64,530	
Toyota PROACE Verso L 75 kWh	68 kWh useable battery          Available since October 2021	13.1 sec	130 km/h	260 km	262 Wh/km		Front Wheel Drive	7	€65,385	
CUPRA Born 150 kW - 58 kWh	58 kWh useable battery          Available since October 2021	7.3 sec	160 km/h	350 km	166 Wh/km		Rear Wheel Drive	5	€39,370	
CUPRA Born 170 kW - 58 kWh	58 kWh useable battery          Available since March 2022	6.6 sec	160 km/h	345 km	168 Wh/km		Rear Wheel Drive	5	€40,750	
CUPRA Born 170 kW - 77 kWh	77 kWh useable battery          Available since March 2022	7.0 sec	160 km/h	450 km	171 Wh/km		Rear Wheel Drive	4	€46,450	
BMW i4 M50	80.7 kWh useable battery          Available since November 2021	3.9 sec	225 km/h	435 km	186 Wh/km		All Wheel Drive	5	€70,800	
Renault Megane E-Tech EV60 220hp	60 kWh useable battery          Available since April 2022	7.4 sec	160 km/h	360 km	167 Wh/km		Front Wheel Drive	5	€46,600	
Peugeot e-Rifter Standard 50 kWh	46.3 kWh useable battery          Available since July 2021	11.7 sec	135 km/h	205 km	226 Wh/km		Front Wheel Drive	7	€41,240	
Peugeot e-Rifter Long 50 kWh	46.3 kWh useable battery          Available since July 2021	11.7 sec	135 km/h	200 km	232 Wh/km		Front Wheel Drive	7	€42,440	
MG Marvel R 	65 kWh useable battery          Available since October 2021	7.9 sec	200 km/h	335 km	194 Wh/km		Rear Wheel Drive	5	€46,990	
